county_fips,bea_county_name,state_name,population_start,income_index_start,pcpi_start,income_index_end,pcpi_end,population_end,income_index_volatility,income_index_change,income_index_ratio,population_change_pct,rank_start,rank_end,rank_gain,period,high_volatility
53067,"Thurston, WA",Washington,75284.0,106.50307150114669,6451.181818181818,93.1469578211521,62123.8,302912.0,4.706804371380816,-13.356113679994593,0.8745940986326315,302.3590669996281,237.0,664.0,-427.0,1969-1979 avg vs 2020-2024 avg,False
36085,"Richmond, NY",New York,288786.0,109.78883883933605,6655.545454545455,96.42402280817115,64160.8,498212.0,6.960142072821379,-13.364816031164906,0.8782679899664223,72.5194434633258,183.0,549.0,-366.0,1969-1979 avg vs 2020-2024 avg,False
08087,"Morgan, CO",Colorado,19463.0,91.65316429154294,5539.727272727273,78.28398387788594,52110.4,30300.0,7.233017321625648,-13.369180413656991,0.854132909463655,55.68000822072649,877.0,1510.0,-633.0,1969-1979 avg vs 2020-2024 avg,False
41047,"Marion, OR",Oregon,148438.0,96.1551229940074,5902.272727272727,82.75599420471701,55152.8,352867.0,7.4401531511019785,-13.399128789290387,0.8606509110271177,137.72012557431387,609.0,1187.0,-578.0,1969-1979 avg vs 2020-2024 avg,False
32031,"Washoe, NV",Nevada,118399.0,129.2088733285714,7898.909090909091,115.7830136556681,77326.4,507280.0,9.403710209868313,-13.4258596729033,0.8960918137660558,328.4495646078092,48.0,195.0,-147.0,1969-1979 avg vs 2020-2024 avg,True
42011,"Berks, PA",Pennsylvania,294336.0,101.98453294312615,6235.0,88.55329100139993,58938.0,439117.0,5.739557303130999,-13.431241941726228,0.8683011869141329,49.189022070015234,357.0,853.0,-496.0,1969-1979 avg vs 2020-2024 avg,False
32001,"Churchill, NV",Nevada,10498.0,96.54258071571198,5848.363636363636,83.09540138546924,55340.6,26033.0,6.453196179072018,-13.447179330242733,0.8607124521578668,147.98056772718616,595.0,1160.0,-565.0,1969-1979 avg vs 2020-2024 avg,False
13151,"Henry, GA",Georgia,23187.0,85.62457868330067,5272.272727272727,72.16232059497699,48077.0,259315.0,8.374509291762031,-13.46225808832368,0.8427757742538333,1018.3637383016345,1290.0,2044.0,-754.0,1969-1979 avg vs 2020-2024 avg,False
16085,"Valley, ID",Idaho,3585.0,109.73177471091954,6619.454545454545,96.26413451855146,64266.8,12777.0,8.368918341788415,-13.46764019236808,0.8772676353057479,256.40167364016736,184.0,555.0,-371.0,1969-1979 avg vs 2020-2024 avg,False
20207,"Woodson, KS",Kansas,4822.0,82.74229635189351,4909.0,69.2564601789567,46130.2,3111.0,9.022608386981975,-13.485836172936814,0.8370139968610117,-35.48320199087516,1467.0,2285.0,-818.0,1969-1979 avg vs 2020-2024 avg,True
18127,"Porter, IN",Indiana,84011.0,108.70360248613127,6665.909090909091,95.21102356418622,63466.2,175860.0,5.739577416562295,-13.492578921945054,0.8758773526050668,109.32973063051267,204.0,597.0,-393.0,1969-1979 avg vs 2020-2024 avg,False
30069,"Petroleum, MT",Montana,696.0,71.68341558200724,4042.090909090909,58.165358487960226,38717.6,525.0,20.90109896993243,-13.518057094047016,0.8114200197592134,-24.56896551724138,2190.0,2952.0,-762.0,1969-1979 avg vs 2020-2024 avg,True
39067,"Harrison, OH",Ohio,16971.0,86.55979244615011,5298.181818181818,73.03057945417581,48746.0,14042.0,7.481135554897636,-13.529212991974305,0.8437009538765821,-17.258853338047253,1229.0,1963.0,-734.0,1969-1979 avg vs 2020-2024 avg,False
26033,"Chippewa, MI",Michigan,32373.0,80.33742525098874,4823.363636363636,66.76233577692003,44498.4,36253.0,6.507714976490185,-13.575089474068719,0.8310240908062753,11.985296388966105,1621.0,2482.0,-861.0,1969-1979 avg vs 2020-2024 avg,False
17117,"Macoupin, IL",Illinois,44564.0,91.39980657574526,5587.363636363636,77.81228391110383,51868.6,43895.0,5.626857625035691,-13.587522664641426,0.8513397000093089,-1.5012117404182734,903.0,1550.0,-647.0,1969-1979 avg vs 2020-2024 avg,False
36071,"Orange, NY",New York,218367.0,102.03121936649082,6171.363636363636,88.44352840852346,58845.8,411767.0,4.868904481041349,-13.587690957967354,0.8668281037673276,88.56649585331118,355.0,859.0,-504.0,1969-1979 avg vs 2020-2024 avg,False
18177,"Wayne, IN",Indiana,78695.0,89.11017860885393,5393.272727272727,75.51336445670141,50312.4,66410.0,5.220385104651423,-13.596814152152518,0.8474157008276768,-15.610902852786069,1053.0,1737.0,-684.0,1969-1979 avg vs 2020-2024 avg,False
40113,"Osage, OK",Oklahoma,30299.0,79.02986539784835,4807.727272727273,65.3981541685873,43581.4,46495.0,6.772204464313091,-13.631711229261057,0.8275119012206721,53.4539093699462,1716.0,2577.0,-861.0,1969-1979 avg vs 2020-2024 avg,False
55101,"Racine, WI",Wisconsin,170181.0,102.97351916126648,6325.0,89.33702257115877,59586.0,198651.0,5.363442227631696,-13.636496590107711,0.8675727827777582,16.72924709573924,319.0,820.0,-501.0,1969-1979 avg vs 2020-2024 avg,False
48153,"Floyd, TX",Texas,11796.0,89.97129170871696,5411.636363636364,76.32597560811269,50793.8,5042.0,12.21145982844432,-13.645316100604276,0.8483369990420818,-57.2566971854866,999.0,1663.0,-664.0,1969-1979 avg vs 2020-2024 avg,True
13115,"Floyd, GA",Georgia,72937.0,81.11273775039992,4936.727272727273,67.42439833629467,44900.0,101390.0,5.539929373217284,-13.688339414105243,0.8312430353882643,39.010378820077605,1571.0,2435.0,-864.0,1969-1979 avg vs 2020-2024 avg,False
